XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
260889.23516149,3321991.45674967,1,2,1,5400.73847474888
255834.51327326,3323376.71868603,2,1,1,5400.73847474888
255834.51327326,3323376.71868603,2,4,3,655.416831035388
255834.51327326,3323376.71868603,2,675,338,11703.5447069609
255188.14741698,3323194.84311424,3,4,2,261.621702309619
255184.67256180,3323456.44173905,4,3,2,261.621702309619
255184.67256180,3323456.44173905,4,2,3,655.416831035388
255184.67256180,3323456.44173905,4,8,4,204.100657305029
255184.67256180,3323456.44173905,4,10,5,3006.61727601534
255148.69443269,3323657.34632470,8,4,4,204.100657305029
252276.58783960,3323661.45683683,10,4,5,3006.61727601534
252276.58783960,3323661.45683683,10,64,33,239.142245789694
251802.65766937,3323685.40267524,11,12,6,10.5068848892557
251802.65766937,3323685.40267524,11,22,11,80.95025974151
251802.65766937,3323685.40267524,11,39,21,69.0523069083223
251804.49071691,3323675.05692409,12,11,6,10.5068848892557
251745.04615477,3323689.93715090,13,14,7,23.4757775388351
251745.04615477,3323689.93715090,13,16,8,7.37372467867206
251745.04615477,3323689.93715090,13,27,15,17.5782797249411
251723.08317370,3323681.64621648,14,13,7,23.4757775388351
251723.08317370,3323681.64621648,14,20,10,16.5904015554401
251747.61274595,3323683.02452294,16,13,8,7.37372467867206
251907.89790297,3323691.27817231,17,18,9,21.0534509665387
251907.89790297,3323691.27817231,17,22,13,30.2809122998848
251907.89790297,3323691.27817231,17,32,16,90.1273144640025
251895.09915772,3323674.56171582,18,17,9,21.0534509665387
251718.52878272,3323697.59923960,20,14,10,16.5904015554401
251718.52878272,3323697.59923960,20,27,14,22.2151531332945
251718.52878272,3323697.59923960,20,36,18,13.8784571806997
251879.11251181,3323700.67683739,22,11,11,80.95025974151
251879.11251181,3323700.67683739,22,24,12,23.9928391833832
251879.11251181,3323700.67683739,22,17,13,30.2809122998848
251872.38810988,3323677.64558144,24,22,12,23.9928391833832
251738.92046908,3323706.41355502,27,20,14,22.2151531332945
251738.92046908,3323706.41355502,27,13,15,17.5782797249411
251738.92046908,3323706.41355502,27,39,20,13.6200871934024
251993.32334962,3323708.85828766,32,17,16,90.1273144640025
251993.32334962,3323708.85828766,32,33,17,49.8665855442041
251993.32334962,3323708.85828766,32,64,32,94.6114078957557
251976.12169478,3323662.43632571,33,32,17,49.8665855442041
251713.63743520,3323710.58716835,36,20,18,13.8784571806997
251713.63743520,3323710.58716835,36,44,22,24.8430009485884
251713.63743520,3323710.58716835,36,48,25,14.2961436227944
251673.20750409,3323692.89916347,37,38,19,20.2886348631476
251665.03670551,3323711.46975191,38,37,19,20.2886348631476
251665.03670551,3323711.46975191,38,48,24,44.3670540378801
251665.03670551,3323711.46975191,38,56,28,22.8645678820539
251745.91129227,3323718.10265962,39,27,20,13.6200871934024
251745.91129227,3323718.10265962,39,11,21,69.0523069083223
251745.91129227,3323718.10265962,39,44,23,12.0659024718415
251735.00397620,3323723.26177374,44,36,22,24.8430009485884
251735.00397620,3323723.26177374,44,39,23,12.0659024718415
251735.00397620,3323723.26177374,44,52,27,17.4344345988247
251707.71378691,3323723.59832177,48,38,24,44.3670540378801
251707.71378691,3323723.59832177,48,36,25,14.2961436227944
251707.71378691,3323723.59832177,48,52,26,13.2693457761863
251719.10266911,3323730.40779308,52,48,26,13.2693457761863
251719.10266911,3323730.40779308,52,44,27,17.4344345988247
