XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
355664.99195591,3337756.50723606,1,2,1,1321.97977891815
355652.52239711,3339065.55433913,2,1,1,1321.97977891815
355652.52239711,3339065.55433913,2,5,23374,98.2049445046959
351104.18672227,3338172.12019685,3,4,2,4875.79550596408
355472.71772444,3339243.93862113,4,3,2,4875.79550596408
355472.71772444,3339243.93862113,4,5,3,162.155917035269
355472.71772444,3339243.93862113,4,12,6,1299.00165486674
355577.51121429,3339128.93835586,5,4,3,162.155917035269
355577.51121429,3339128.93835586,5,2,23374,98.2049445046959
355737.41976040,3340076.90090664,7,8,4,651.081331627094
355737.41976040,3340076.90090664,7,20,23375,33.3202160146381
356289.60828809,3340419.34777967,8,7,4,651.081331627094
356289.60828809,3340419.34777967,8,27,23377,150.888414809841
356286.13579081,3340429.93502252,9,10,5,645.716296908196
356286.13579081,3340429.93502252,9,32,23378,147.501494643169
355738.97346816,3340089.59488143,10,9,5,645.716296908196
355738.97346816,3340089.59488143,10,21,23376,32.5648103255467
355810.09281366,3340487.35124120,12,4,6,1299.00165486674
355810.09281366,3340487.35124120,12,14,7,99.7404666981472
355810.09281366,3340487.35124120,12,87,44,1606.88530804778
355850.35785830,3340578.38343215,14,12,7,99.7404666981472
355850.35785830,3340578.38343215,14,15,23379,127.818031151706
355911.38428834,3340690.69204235,15,16,8,124.934109581611
355911.38428834,3340690.69204235,15,14,23379,127.818031151706
355974.45019790,3340798.54018924,16,15,8,124.934109581611
355974.45019790,3340798.54018924,16,18,9,527.95582957385
355974.45019790,3340798.54018924,16,40,20,317.20798115601
356431.33187889,3340615.74502010,18,16,9,527.95582957385
356431.33187889,3340615.74502010,18,24,12,339.833817809878
356431.33187889,3340615.74502010,18,26,13,684.596991379437
341793.51176218,3339503.86326304,19,20,10,14355.419983556
355706.27380039,3340065.06173565,20,19,10,14355.419983556
355706.27380039,3340065.06173565,20,7,23375,33.3202160146381
355708.48753896,3340078.14608270,21,22,11,14355.8044313823
355708.48753896,3340078.14608270,21,10,23376,32.5648103255467
341795.80843103,3339515.20860192,22,21,11,14355.8044313823
356249.81157828,3340903.03825739,24,18,12,339.833817809878
356249.81157828,3340903.03825739,24,40,21,155.835306445993
356249.81157828,3340903.03825739,24,45,23,603.490779026235
357015.24017295,3340973.13016910,26,18,13,684.596991379437
357015.24017295,3340973.13016910,26,36,18,111.477587482013
357015.24017295,3340973.13016910,26,43,22,295.963046989814
356413.56452774,3340505.38361159,27,28,14,880.407691652232
356413.56452774,3340505.38361159,27,8,23377,150.888414809841
357150.01479596,3340986.11636606,28,27,14,880.407691652232
357150.01479596,3340986.11636606,28,30,15,1300.96662675107
357150.01479596,3340986.11636606,28,31,17,11.3072950002678
357150.01479596,3340986.11636606,28,108,54,1648.68892417521
357862.97819121,3339901.30256637,30,28,15,1300.96662675107
357142.55208513,3340994.61123907,31,32,16,879.254419873261
357142.55208513,3340994.61123907,31,28,17,11.3072950002678
357142.55208513,3340994.61123907,31,36,19,48.7534659116866
357142.55208513,3340994.61123907,31,93,47,1438.7339491454
356407.14233627,3340514.28018764,32,31,16,879.254419873261
356407.14233627,3340514.28018764,32,9,23378,147.501494643169
357110.37524550,3341031.23843429,36,26,18,111.477587482013
357110.37524550,3341031.23843429,36,31,19,48.7534659116866
357110.37524550,3341031.23843429,36,51,27,280.483974289524
357110.37524550,3341031.23843429,36,64,32,866.51680432632
356175.41885282,3341039.97023004,40,16,20,317.20798115601
356175.41885282,3341039.97023004,40,24,21,155.835306445993
356175.41885282,3341039.97023004,40,56,28,261.25972878046
356175.41885282,3341039.97023004,40,58,29,515.687332443198
356793.40456112,3341169.04618812,43,26,22,295.963046989814
356793.40456112,3341169.04618812,43,45,24,52.1599711965367
356793.40456112,3341169.04618812,43,51,26,189.357849834662
356767.00139830,3341214.02991393,45,24,23,603.490779026235
356767.00139830,3341214.02991393,45,43,24,52.1599711965367
356767.00139830,3341214.02991393,45,49,25,91.5254251722169
356845.44046742,3341261.19150731,49,45,25,91.5254251722169
356956.29129277,3341265.60864431,51,43,26,189.357849834662
356956.29129277,3341265.60864431,51,36,27,280.483974289524
356956.29129277,3341265.60864431,51,60,31,218.353722577606
356956.29129277,3341265.60864431,51,69,35,737.976887195973
356058.37764427,3341273.54677292,56,40,28,261.25972878046
356058.37764427,3341273.54677292,56,66,33,438.074872895235
356614.50244126,3341310.41104116,58,40,29,515.687332443198
356614.50244126,3341310.41104116,58,60,30,277.530979385725
356614.50244126,3341310.41104116,58,66,34,428.775272801506
356850.52194759,3341456.41870244,60,58,30,277.530979385725
356850.52194759,3341456.41870244,60,51,31,218.353722577606
356850.52194759,3341456.41870244,60,74,37,580.481851582942
356850.52194759,3341456.41870244,60,84,43,554.375928059513
357796.71727822,3341542.12834259,64,36,32,866.51680432632
357796.71727822,3341542.12834259,64,69,36,228.565622598225
357796.71727822,3341542.12834259,64,79,41,330.483501391075
356321.70234948,3341623.64632146,66,56,33,438.074872895235
356321.70234948,3341623.64632146,66,58,34,428.775272801506
356321.70234948,3341623.64632146,66,77,39,297.465844078111
356321.70234948,3341623.64632146,66,84,42,373.022382002712
357591.09899972,3341641.94501145,69,51,35,737.976887195973
357591.09899972,3341641.94501145,69,64,36,228.565622598225
357591.09899972,3341641.94501145,69,74,38,274.491455360773
357591.09899972,3341641.94501145,69,79,40,340.592132503923
357344.16853601,3341761.82372165,74,60,37,580.481851582942
357344.16853601,3341761.82372165,74,69,38,274.491455360773
357344.16853601,3341761.82372165,74,92,46,457.253107775546
357344.16853601,3341761.82372165,74,98,49,488.651621362267
356082.04683757,3341795.84617404,77,66,39,297.465844078111
356082.04683757,3341795.84617404,77,87,45,428.942713107242
356082.04683757,3341795.84617404,77,129,65,659.734683094282
357876.98975920,3341827.06517341,79,69,40,340.592132503923
357876.98975920,3341827.06517341,79,64,41,330.483501391075
357876.98975920,3341827.06517341,79,98,50,224.875338645698
356547.37951746,3341920.57097990,84,66,42,373.022382002712
356547.37951746,3341920.57097990,84,60,43,554.375928059513
356547.37951746,3341920.57097990,84,102,51,246.864992280226
355674.18837835,3341928.67431404,87,12,44,1606.88530804778
355674.18837835,3341928.67431404,87,77,45,428.942713107242
355674.18837835,3341928.67431404,87,95,48,233.45367481765
356922.46569887,3341938.59227574,92,74,46,457.253107775546
356922.46569887,3341938.59227574,92,102,52,269.722495210035
356922.46569887,3341938.59227574,92,125,63,777.56529227096
358160.26111024,3341970.50293713,93,31,47,1438.7339491454
358160.26111024,3341970.50293713,93,109,55,202.329500946606
358160.26111024,3341970.50293713,93,112,57,350.169361687077
355452.23945189,3342001.05727011,95,87,48,233.45367481765
355452.23945189,3342001.05727011,95,145,73,2745.93713361951
357759.70914975,3342018.93538104,98,74,49,488.651621362267
357759.70914975,3342018.93538104,98,79,50,224.875338645698
357759.70914975,3342018.93538104,98,106,53,181.930603764949
357759.70914975,3342018.93538104,98,125,64,437.82086550175
356710.72207630,3342105.66969110,102,84,51,246.864992280226
356710.72207630,3342105.66969110,102,92,52,269.722495210035
356710.72207630,3342105.66969110,102,129,66,472.6739130838
356710.72207630,3342105.66969110,102,138,69,882.946374169219
357914.18213749,3342115.04386476,106,98,53,181.930603764949
357914.18213749,3342115.04386476,106,112,56,92.4322779040747
357914.18213749,3342115.04386476,106,115,58,117.173435259672
358295.69674357,3342128.51679831,108,28,54,1648.68892417521
358295.69674357,3342128.51679831,108,117,23380,27.3082557708947
358282.44136584,3342131.71433359,109,93,55,202.329500946606
358282.44136584,3342131.71433359,109,124,23381,30.4822348769523
357995.16909412,3342159.10962308,112,106,56,92.4322779040747
357995.16909412,3342159.10962308,112,93,57,350.169361687077
357995.16909412,3342159.10962308,112,134,68,825.371875318527
358011.00725676,3342179.88803856,115,106,58,117.173435259672
358011.00725676,3342179.88803856,115,118,60,709.280721999152
358011.00725676,3342179.88803856,115,121,61,444.576608619487
358312.97374762,3342149.66498888,117,118,59,114.125794297964
358312.97374762,3342149.66498888,117,108,23380,27.3082557708947
358390.65674466,3342233.27150116,118,117,59,114.125794297964
358390.65674466,3342233.27150116,118,115,60,709.280721999152
358390.65674466,3342233.27150116,118,134,67,280.154574684868
358420.76925897,3342282.11016911,121,115,61,444.576608619487
358420.76925897,3342282.11016911,121,124,62,173.889900011211
358420.76925897,3342282.11016911,121,153,77,2117.0617786853
358302.40977411,3342154.74538467,124,121,62,173.889900011211
358302.40977411,3342154.74538467,124,109,23381,30.4822348769523
357535.27443489,3342394.85581017,125,92,63,777.56529227096
357535.27443489,3342394.85581017,125,98,64,437.82086550175
357535.27443489,3342394.85581017,125,138,70,412.319074957073
357535.27443489,3342394.85581017,125,147,74,1606.91385614478
356339.65706836,3342398.46891923,129,77,65,659.734683094282
356339.65706836,3342398.46891923,129,102,66,472.6739130838
356339.65706836,3342398.46891923,129,143,72,671.092268119011
358597.95660699,3342420.91024839,134,118,67,280.154574684868
358597.95660699,3342420.91024839,134,112,68,825.371875318527
