355652.52239711 3339065.55433913,355664.99195591 3337756.50723606
351104.18672227 3338172.12019685,355472.71772444 3339243.93862113
355472.71772444 3339243.93862113,355577.51121429 3339128.93835586
355737.41976040 3340076.90090664,356289.60828809 3340419.34777967
355738.97346816 3340089.59488143,356286.13579081 3340429.93502252
355472.71772444 3339243.93862113,355810.09281366 3340487.35124120
355810.09281366 3340487.35124120,355850.35785830 3340578.38343215
355911.38428834 3340690.69204235,355974.45019790 3340798.54018924
355974.45019790 3340798.54018924,356431.33187889 3340615.74502010
341793.51176218 3339503.86326304,355706.27380039 3340065.06173565
341795.80843103 3339515.20860192,355708.48753896 3340078.14608270
356249.81157828 3340903.03825739,356431.33187889 3340615.74502010
356431.33187889 3340615.74502010,357015.24017295 3340973.13016910
356413.56452774 3340505.38361159,357150.01479596 3340986.11636606
357150.01479596 3340986.11636606,357862.97819121 3339901.30256637
356407.14233627 3340514.28018764,357142.55208513 3340994.61123907
357142.55208513 3340994.61123907,357150.01479596 3340986.11636606
357015.24017295 3340973.13016910,357110.37524550 3341031.23843429
357110.37524550 3341031.23843429,357142.55208513 3340994.61123907
355974.45019790 3340798.54018924,356175.41885282 3341039.97023004
356175.41885282 3341039.97023004,356249.81157828 3340903.03825739
356793.40456112 3341169.04618812,357015.24017295 3340973.13016910
356249.81157828 3340903.03825739,356767.00139830 3341214.02991393
356767.00139830 3341214.02991393,356793.40456112 3341169.04618812
356767.00139830 3341214.02991393,356845.44046742 3341261.19150731
356793.40456112 3341169.04618812,356956.29129277 3341265.60864431
356956.29129277 3341265.60864431,357110.37524550 3341031.23843429
356058.37764427 3341273.54677292,356175.41885282 3341039.97023004
356175.41885282 3341039.97023004,356614.50244126 3341310.41104116
356614.50244126 3341310.41104116,356850.52194759 3341456.41870244
356850.52194759 3341456.41870244,356956.29129277 3341265.60864431
357110.37524550 3341031.23843429,357796.71727822 3341542.12834259
356058.37764427 3341273.54677292,356321.70234948 3341623.64632146
356321.70234948 3341623.64632146,356614.50244126 3341310.41104116
356956.29129277 3341265.60864431,357591.09899972 3341641.94501145
357591.09899972 3341641.94501145,357796.71727822 3341542.12834259
356850.52194759 3341456.41870244,357344.16853601 3341761.82372165
357344.16853601 3341761.82372165,357591.09899972 3341641.94501145
356082.04683757 3341795.84617404,356321.70234948 3341623.64632146
357591.09899972 3341641.94501145,357876.98975920 3341827.06517341
357796.71727822 3341542.12834259,357876.98975920 3341827.06517341
356321.70234948 3341623.64632146,356547.37951746 3341920.57097990
356547.37951746 3341920.57097990,356850.52194759 3341456.41870244
355674.18837835 3341928.67431404,355810.09281366 3340487.35124120
355674.18837835 3341928.67431404,356082.04683757 3341795.84617404
356922.46569887 3341938.59227574,357344.16853601 3341761.82372165
357142.55208513 3340994.61123907,358160.26111024 3341970.50293713
355452.23945189 3342001.05727011,355674.18837835 3341928.67431404
357344.16853601 3341761.82372165,357759.70914975 3342018.93538104
357759.70914975 3342018.93538104,357876.98975920 3341827.06517341
356547.37951746 3341920.57097990,356710.72207630 3342105.66969110
356710.72207630 3342105.66969110,356922.46569887 3341938.59227574
357759.70914975 3342018.93538104,357914.18213749 3342115.04386476
357150.01479596 3340986.11636606,358295.69674357 3342128.51679831
358160.26111024 3341970.50293713,358282.44136584 3342131.71433359
357914.18213749 3342115.04386476,357995.16909412 3342159.10962308
357995.16909412 3342159.10962308,358160.26111024 3341970.50293713
357914.18213749 3342115.04386476,358011.00725676 3342179.88803856
358312.97374762 3342149.66498888,358390.65674466 3342233.27150116
358011.00725676 3342179.88803856,358390.65674466 3342233.27150116
358011.00725676 3342179.88803856,358420.76925897 3342282.11016911
358302.40977411 3342154.74538467,358420.76925897 3342282.11016911
356922.46569887 3341938.59227574,357535.27443489 3342394.85581017
357535.27443489 3342394.85581017,357759.70914975 3342018.93538104
356082.04683757 3341795.84617404,356339.65706836 3342398.46891923
356339.65706836 3342398.46891923,356710.72207630 3342105.66969110
358390.65674466 3342233.27150116,358597.95660699 3342420.91024839
357995.16909412 3342159.10962308,358597.95660699 3342420.91024839
356710.72207630 3342105.66969110,357319.17129330 3342745.42197243
357319.17129330 3342745.42197243,357535.27443489 3342394.85581017
357297.71072701 3342760.20044754,357319.17129330 3342745.42197243
356339.65706836 3342398.46891923,356630.60905959 3343003.20999699
353252.90143716 3343158.93210841,355452.23945189 3342001.05727011
357535.27443489 3342394.85581017,358914.00489551 3343211.90571754
358597.95660699 3342420.91024839,360282.98478362 3343264.48499305
356323.23407011 3343265.14947717,357218.86962334 3342803.15048269
358420.76925897 3342282.11016911,360277.50129054 3343278.38867837
319582.66350358 3343475.43238280,319876.53241764 3343803.05804393
360282.98478362 3343264.48499305,361714.40855753 3343823.38111576
358474.60113839 3342059.20870308,361714.40855753 3343823.38111576
360277.50129054 3343278.38867837,361703.34684004 3343835.10628390
361703.34684004 3343835.10628390,361714.40855753 3343823.38111576
356236.92874457 3344032.10792562,356323.23407011 3343265.14947717
356236.92874457 3344032.10792562,356504.15483370 3344020.83325799
353345.15559656 3344180.20954245,356323.23407011 3343265.14947717
352321.28126210 3344419.22868959,353345.15559656 3344180.20954245
319876.53241764 3343803.05804393,320051.72097090 3344678.27735716
320051.72097090 3344678.27735716,321220.91962001 3344460.67086437
357319.17129330 3342745.42197243,361008.08888483 3344861.54847269
361008.08888483 3344861.54847269,361703.34684004 3343835.10628390
